pl_name,pl_masse,pl_rade,classification
WASP-60 b,169.163363,11.342845,Gas Giant
HATS-27 b,168.4499,16.059023,Gas Giant
TOI-4582 b,168.449056,10.347105,Gas Giant
HAT-P-1 b,167.614731,14.373119,Gas Giant
TOI-4214 b,165.270772,10.918079,Gas Giant
NGTS-24 b,165.270772,12.623901,Gas Giant
TOI-5293 A b,164.657102,11.5927,Gas Giant
WASP-88 b,164.210567,18.231477,Gas Giant
WASP-42 b,161.87908,11.844441,Gas Giant
WASP-177 b,161.45764,14.857857,Gas Giant
WASP-101 b,159.654937,15.871538,Gas Giant
WASP-183 b,159.55066,15.944255,Gas Giant
WASP-110 b,158.437461,13.633409,Gas Giant
Kepler-45 b,157.74724,11.06602,Gas Giant
HAT-P-46 b,156.684,13.89272,Gas Giant
HATS-75 b,156.053748,9.786932,Gas Giant
TOI-5386 A b,155.100263,14.947741,Gas Giant
WASP-31 b,152.954003,17.322806,Gas Giant
WASP-96 b,152.55535,13.813304,Gas Giant
WASP-113 b,150.96925,16.587541,Gas Giant
WASP-13 b,150.904502,15.920108,Gas Giant
WASP-172 b,149.379726,18.513177,Gas Giant
WASP-94 A b,149.16616,19.20135,Gas Giant
CoRoT-5 b,148.901703,15.365262,Gas Giant
WASP-6 b,148.766234,12.96545,Gas Giant
KELT-6 b,147.471153,13.736708,Gas Giant
TIC 139270665 b,147.154552,7.229793,Other/Unknown
Kepler-422 b,146.19835,12.501304,Gas Giant
WASP-52 b,146.095257,14.435736,Gas Giant
TOI-4329 b,143.022783,18.848845,Gas Giant
TOI-1259 A b,140.162327,12.004885,Gas Giant
Kepler-7 b,139.907688,17.514147,Gas Giant
TOI-2796 b,139.844499,16.172865,Gas Giant
TOI-615 b,138.255357,19.065202,Gas Giant
Kepler-12 b,137.142213,18.732533,Gas Giant
TOI-4145 A b,136.666215,12.74388,Gas Giant
WASP-168 b,133.4886,14.7865,Gas Giant
WASP-132 b,133.170429,10.094945,Gas Giant
WASP-67 b,133.168125,14.121745,Gas Giant
TOI-5344 b,132.972652,9.988939,Gas Giant
TOI-1194 b,132.464877,8.693781,Gas Giant
NGTS-18 b,129.991818,13.604105,Gas Giant
TOI-3912 b,129.038333,14.257871,Gas Giant
TOI-530 b,127.131363,8.957785,Gas Giant
K2-232 b,124.748275,11.946041,Gas Giant
HD 1397 b,124.27153,11.727683,Gas Giant
TOI-5688 A b,124.0,9.85747,Gas Giant
WASP-153 b,123.9537,16.506929,Gas Giant
HATS-50 b,123.9537,13.136189,Gas Giant
K2-139 b,123.00021,9.310979,Gas Giant
WASP-49 b,122.84011,12.710102,Gas Giant
Kepler-63 b,120.0,5.840241,Other/Unknown
HAT-P-58 b,118.232167,14.942421,Gas Giant
