pl_name,pl_masse,pl_rade,pl_orbper,pl_eqt,sy_dist,disc_year,discoverymethod,hostname
HD 224018 b,4.1,0.91,10.6413,968.0,105.48,2025.0,Radial Velocity,HD 224018
HD 224018 c,10.4,2.42,36.57669,641.0,105.48,2025.0,Transit,HD 224018
HD 22946 d,26.57,2.607,47.42489,546.0,62.7792,2023.0,Transit,HD 22946
HD 23472 b,13.120000000000001,1.91414,17.667085233333335,502.5,39.0341,2019.0,Transit,HD 23472
HD 23472 c,10.295,1.8762733333333335,29.7400035,420.5,39.0341,2019.0,Transit,HD 23472
HD 23472 d,0.55,0.7537940000000001,3.97666165,882.0,39.0341,2022.0,Transit,HD 23472
HD 23472 e,0.72,0.8939094999999999,7.9075811,721.5,39.0341,2022.0,Transit,HD 23472
HD 23472 f,0.77,1.146715,12.16225775,634.0,39.0341,2022.0,Transit,HD 23472
HD 235088 b,4.175000000000001,2.019858555,7.4341421,763.9833333333332,41.1706,2023.0,Transit,HD 235088
HD 25463 b,8.6,2.6706174199999997,7.049149047073333,1229.3999999999999,45.6181,2023.0,Transit,HD 25463
HD 25463 c,4.199999999999999,1.3990973366666666,3.04404802735,1626.6133333333335,45.6181,2023.0,Transit,HD 25463
HD 260655 b,2.14,1.25663,2.7695118,655.5,10.0055,2022.0,Transit,HD 260655
HD 260655 c,3.09,1.71451,5.705983399999999,575.0,10.0055,2022.0,Transit,HD 260655
HD 28109 b,12.347999999999999,2.4828209766666665,22.8910265,850.73,139.611,2022.0,Transit,HD 28109
HD 28109 c,8.5715,4.322481453333333,56.00327188281333,608.29,139.611,2022.0,Transit,HD 28109
HD 3167 b,5.17,1.6525249927272727,0.9596705709090909,1741.1666666666667,47.28990000000001,2016.0,Transit,HD 3167
HD 3167 c,9.946000000000002,2.852366164,29.84726728,536.5,47.28990000000001,2016.0,Transit,HD 3167
HD 332231 b,75.82526,9.729878683333334,18.712085639999998,894.1,80.6665,2020.0,Transit,HD 332231
HD 35843 c,11.32,2.504034765,46.962152630455,473.73,69.6026,2025.0,Transit,HD 35843
HD 42813 b,7.6,3.445145884,13.630822181126002,732.3399999999999,68.192,2023.0,Transit,HD 42813
HD 5278 b,7.8,2.3731616300000002,14.339179807519999,892.47,57.5846,2021.0,Transit,HD 5278
HD 56414 b,,3.27837,29.04983585,1124.0,272.217,2022.0,Transit,HD 56414
HD 6061 b,10.4,2.3564118566666665,5.254618466666667,1137.77,67.6203,2023.0,Transit,HD 6061
HD 63433 b,29.527499999999996,2.1707374059999998,7.107916549138571,913.1533333333333,22.4035,2020.0,Transit,HD 63433
HD 63433 c,16.3695,2.624786553333333,20.5442344290225,641.0533333333333,22.4035,2020.0,Transit,HD 63433
HD 63433 d,,1.073,4.209075,1040.0,22.4035,2023.0,Transit,HD 63433
HD 63935 b,10.65,2.86060748,9.058812966666666,866.7400000000001,48.97389999999999,2021.0,Transit,HD 63935
HD 63935 c,11.1,2.9885185266666667,21.401770966666664,641.7266666666667,48.97389999999999,2021.0,Radial Velocity,HD 63935
HD 73344 b,11.455,2.929111556666667,15.6099473316525,870.3299999999999,35.26,2024.0,Transit,HD 73344
HD 73583 b,13.05,2.6850625,6.398055575,695.675,31.5666,2022.0,Transit,HD 73583
HD 73583 c,16.1,2.3726233333333333,18.87984236666667,505.93333333333334,31.566600000000005,2022.0,Transit,HD 73583
HD 77946 b,9.64,2.8329083166666664,6.52734447125,1139.3449999999998,99.45099999999998,2024.0,Transit,HD 77946
HD 80653 b,5.66,1.61228058,0.71957855246,2382.4700000000003,109.86,2020.0,Transit,HD 80653
HD 86226 c,7.25,2.1441350000000003,3.9845450749999998,1358.0,45.683,2020.0,Transit,HD 86226
HD 89345 b,36.37291,7.123466305,11.81426366921,1062.305,132.345,2018.0,Transit,HD 89345
HD 93963 A b,4.97,1.46156342,1.037992025,1936.743333333333,82.3432,2022.0,Transit,HD 93963 A
HD 93963 A c,18.799999999999997,3.1136668566666668,3.645144533333333,1233.1499999999999,82.3432,2022.0,Transit,HD 93963 A
HD 95338 b,42.44,4.128195,55.087,473.5,36.9941,2020.0,Radial Velocity,HD 95338
HD 97658 b,8.1481567575,2.298458,9.490708099999999,738.6666666666666,21.5618,2010.0,Radial Velocity,HD 97658
HIP 113103 b,,1.829,7.610303,721.0,46.2122,2023.0,Transit,HIP 113103
HIP 113103 c,,3.041045,14.24565415,803.0,46.2122,2023.0,Transit,HIP 113103
HIP 116454 b,11.0833,2.5177699999999996,9.10734554,708.05,62.4491,2014.0,Transit,HIP 116454
HIP 29442 c,4.5,1.5655000000000001,3.53795795,1170.0,68.192,2023.0,Radial Velocity,HD 42813
HIP 29442 d,5.119999999999999,1.4540000000000002,6.4296625,959.0,68.192,2023.0,Radial Velocity,HD 42813
HIP 41378 b,6.89,2.6460566666666665,15.5718083,935.5,106.289,2016.0,Transit,HIP 41378
HIP 41378 c,4.4,2.52893495,31.707082707905,726.75,106.289,2016.0,Transit,HIP 41378
HIP 67522 b,,9.875650892,6.95946322276,1155.2649999999999,127.28,2020.0,Transit,HIP 67522
HIP 67522 c,,7.93595834,14.334892,917.0,127.28,2024.0,Transit,HIP 67522
HIP 8152 b,8.35,2.484813706666667,10.75101155262,812.4499999999999,101.694,2023.0,Transit,HIP 8152
HIP 8152 c,10.05,2.254598693333333,15.134079999999999,776.9866666666667,101.694,2023.0,Transit,HIP 8152
HIP 94235 b,379.0,3.0703460133333333,7.71243294696,1020.73,58.5146,2022.0,Transit,HIP 94235
HIP 9618 b,8.9,3.8485353175,20.772769150000002,762.3199999999999,67.5478,2023.0,Transit,HIP 9618
HIP 9618 c,11.066666666666668,3.348819815,52.56360665538,500.5525,67.5478,2023.0,Transit,HIP 9618
HIP 97166 b,19.55,2.6196479333333333,10.288903333333332,647.2199999999999,65.9501,2021.0,Transit,HIP 97166
HR 858 b,3.55,1.95347,3.5855223333333335,1509.3333333333333,31.964,2019.0,Transit,HR 858
HR 858 c,3.8,2.103257823333333,5.973569149603333,1277.9133333333332,31.964,2019.0,Transit,HR 858
HR 858 d,7.1,2.080155486666667,11.230323825693333,1035.7633333333333,31.964,2019.0,Transit,HR 858
IRAS 04125+2902 b,,9.898896950000001,8.834952047875,750.515,159.244,2024.0,Transit,IRAS 04125+2902
K2-10 b,26.1,3.7782442657142856,19.303945375,676.0,272.36,2015.0,Transit,K2-10
K2-100 b,14.9,3.4693877777777775,1.67384934,1572.8,188.95899999999997,2016.0,Transit,K2-100
K2-101 b,,1.996841196,14.675568909999999,618.0,188.33,2016.0,Transit,K2-101
K2-104 b,,1.814,1.97426105,798.0,189.289,2016.0,Transit,K2-104
K2-105 b,22.7,3.4818716675,8.266738262727273,876.25,197.989,2017.0,Transit,K2-105
K2-108 b,59.4,5.707107108571429,4.733845820572222,1407.33,477.29499999999996,2017.0,Transit,K2-108
K2-11 b,,3.84,39.878309,734.0,329.309,2015.0,Transit,K2-11
K2-110 b,16.53333333333333,2.553741655714286,13.863232573333333,606.0,116.474,2017.0,Transit,K2-110
K2-111 b,6.2175,1.635234052857143,5.351707571428571,1212.3333333333333,200.394,2017.0,Transit,K2-111
K2-113 b,410.0007,11.852053999999999,5.817644950000001,1137.3333333333333,635.722,2017.0,Transit,K2-113
K2-114 b,621.8852320466666,10.76957611125,11.390502456897,695.3083333333334,475.758,2017.0,Transit,K2-114
K2-115 b,293.991945535,11.641615280000002,20.272885369999997,647.25,413.591,2017.0,Transit,K2-115
K2-117 b,,2.0518629133333333,1.29164416962875,862.345,101.632,2017.0,Transit,K2-117
K2-117 c,,1.9759999999999998,5.4442642,537.0,101.632,2017.0,Transit,K2-117
K2-119 b,,2.395,7.727741040000001,666.0,365.58099999999996,2017.0,Transit,K2-119
K2-12 b,5.2,2.3830391216666666,8.282188516666666,1014.5,326.381,2015.0,Transit,K2-12
K2-121 b,51.0,7.69846046375,5.185796372727273,778.0,169.398,2017.0,Transit,K2-121
K2-122 b,,1.2233333333333334,2.219292315,791.5,72.0444,2017.0,Transit,K2-122
K2-123 b,,2.7733333333333334,30.9545747825,338.0,161.555,2017.0,Transit,K2-123
K2-124 b,,2.7383333333333333,6.4137574285714285,443.5,140.385,2017.0,Transit,K2-124
K2-126 b,,1.9050808839999998,7.3867591657142855,601.0,102.953,2017.0,Transit,K2-126
K2-127 b,,10.057526164,3.5879171187500005,933.15,709.9990000000001,2017.0,Transit,K2-127
K2-13 b,,2.2933333333333334,40.01265033333333,511.0,342.394,2015.0,Transit,K2-13
K2-131 b,6.8999999999999995,1.7495358571428572,0.36926361712,2097.6733333333336,152.509,2017.0,Transit,K2-131
K2-132 b,156.2664166666667,11.448710062,9.1728871,1369.0,609.818,2017.0,Transit,K2-132
K2-133 d,,2.1638100000000002,11.024274033333333,734.0,75.1703,2017.0,Transit,K2-133
K2-133 e,,1.73,26.5841,296.0,75.1703,2019.0,Transit,K2-133
K2-136 b,4.3,1.018,7.9753973333333334,581.5,59.2474,2017.0,Transit,K2-136
K2-136 c,18.1,3.1615,17.307142183333333,517.6666666666666,59.2474,2017.0,Transit,K2-136
K2-136 d,3.0,1.5216666666666665,25.573855,396.5,59.2474,2017.0,Transit,K2-136
K2-137 b,158.915,0.765,0.17971700000000002,1471.0,98.8765,2017.0,Transit,K2-137
K2-138 b,2.8200000000000003,1.5233333333333334,2.353173333333333,1157.0,202.585,2017.0,Transit,K2-138
K2-138 c,6.27,2.3596666666666666,3.55997075,1012.0,202.585,2017.0,Transit,K2-138
K2-138 d,4.35,2.5033333333333334,5.404943,888.0,202.585,2017.0,Transit,K2-138
K2-138 e,13.54,3.2749924999999998,8.26147312,775.5,202.585,2017.0,Transit,K2-138
K2-138 f,2.05,2.814666666666666,12.757342000000001,653.0,202.585,2017.0,Transit,K2-138
K2-138 g,3.4400000000000004,3.0965,41.966621,445.0,202.585,2021.0,Transit,K2-138
K2-139 b,123.00021,9.310979136,28.381943200000002,544.5,153.856,2017.0,Transit,K2-139
K2-14 b,,6.388,8.36853556,488.0,364.048,2015.0,Transit,K2-14
K2-141 b,5.13,1.5402580000000001,0.2802592,2117.6666666666665,61.873599999999996,2018.0,Transit,K2-141
K2-141 c,7.7,7.0,7.7485,695.0,61.8736,2018.0,Transit,K2-141
K2-146 b,5.685,3.0037499999999997,2.6473532222222222,534.0,79.3002,2018.0,Transit,K2-146
K2-147 b,,1.100715015,0.9619225,1077.0,90.5494,2018.0,Transit,K2-147
K2-15 b,,2.875,11.8096345,676.0,493.992,2015.0,Transit,K2-15
K2-151 b,,1.3485,3.8354935,566.0,69.4798,2018.0,Transit,K2-151
K2-152 b,,2.55,32.6503,337.0,108.449,2018.0,Transit,K2-152
K2-153 b,,2.0,7.515639999999999,497.0,143.125,2018.0,Transit,K2-153
K2-154 b,,2.11,3.676305,715.0,129.356,2018.0,Transit,K2-154
K2-154 c,,2.085,7.95482,552.0,129.356,2018.0,Transit,K2-154
K2-155 b,,1.675,6.3428249999999995,708.0,72.7998,2018.0,Transit,K2-155
K2-155 c,,2.2532946333333332,13.8526953851175,516.875,72.7998,2018.0,Transit,K2-155
