pl_name,pl_masse,pl_rade,pl_orbper,pl_eqt,sy_dist,disc_year,discoverymethod,hostname,density
HATS-8 b,44.972944999999996,9.807827496666667,3.583961986186667,1268.255,794.6370000000001,2015.0,Transit,HATS-8,0.04766865207637366
HATS-9 b,262.31569333333334,13.746908207142857,1.9153371367942857,1777.9099999999999,638.7,2015.0,Transit,HATS-9,0.10097391036742631
HD 106315 b,11.55,2.3586757742857145,9.55711422979875,1082.114,109.353,2017.0,Transit,HD 106315,0.8801916510614056
HD 110067 b,5.69,2.2,9.113678,800.0,32.1585,2023.0,Transit,HD 110067,0.5343726521412471
HD 110067 c,6.3,2.388,13.673694,699.0,32.1585,2023.0,Transit,HD 110067,0.4626340375056939
HD 110067 d,8.52,2.852,20.519617,602.0,32.1585,2023.0,Transit,HD 110067,0.3672747156964705
HD 110067 e,3.9,1.94,30.793091,533.0,32.1585,2023.0,Transit,HD 110067,0.5341453072458592
HD 110067 f,5.04,2.601,41.05854,489.0,32.1585,2023.0,Transit,HD 110067,0.28642404903797813
HD 110113 b,4.55,2.101655,2.5406469966666667,1381.0,106.307,2021.0,Transit,HD 110113,0.49014787103163227
HD 118203 b,695.408554514,12.673849948333334,6.1346131125,1419.0,92.2589,2005.0,Radial Velocity,HD 118203,0.3415972342928712
HD 135694 b,5.9,2.5202608,15.923470967,766.9433333333333,73.8713,2023.0,Transit,HD 135694,0.36856624514380654
HD 136352 b,4.673333333333333,1.582803215,11.57875804167,874.11,14.681999999999999,2019.0,Radial Velocity,HD 136352,1.1785445061050848
HD 136352 c,11.25,2.77150696,27.58987155071,654.2199999999999,14.681999999999999,2019.0,Radial Velocity,HD 136352,0.5284508511893977
HD 137496 b,4.04,1.31,1.62116,2130.0,155.317,2021.0,Transit,HD 137496,1.7970802783339286
HD 1397 b,124.27153,11.727682999999999,11.5355215,1373.65,79.5702,2018.0,Transit,HD 1397,0.07704332009442529
HD 149026 b,111.716505,8.160857857142856,2.875969524,1620.6666666666667,75.8643,2005.0,Radial Velocity,HD 149026,0.20554641187929273
HD 152843 b,10.690000000000001,3.222518003333333,11.622621466556666,1003.11,107.89799999999998,2021.0,Transit,HD 152843,0.3194417293052725
HD 15337 b,7.076333333333333,1.708604255,4.7561310198225,972.1766666666666,44.8155,2019.0,Transit,HD 15337,1.4186779921899975
HD 15337 c,7.897333333333333,2.40835086,17.1795168397525,630.29,44.8155,2019.0,Transit,HD 15337,0.5653549479138711
HD 18599 b,24.8,2.6585886166666666,4.137436772223333,890.8399999999999,38.5653,2022.0,Transit,HD 18599,1.3197700184223207
HD 189733 b,362.49627444444445,12.97517375,2.217612848383889,1186.2428571428572,19.7638,2005.0,Radial Velocity,HD 189733,0.1659449348462146
HD 191939 b,10.0,3.364212692,8.8803297,836.1380000000001,53.6089,2020.0,Transit,HD 191939,0.2626332241545788
HD 191939 c,7.1000000000000005,3.166576226,28.58019657142857,571.302,53.6089,2020.0,Transit,HD 191939,0.22360860290458662
HD 202772 A b,323.23311,21.1520525,3.3089085,2658.0,161.498,2019.0,Transit,HD 202772 A,0.034155314890132384
HD 20329 b,7.42,1.69868,0.9260906,1858.5,63.6796,2022.0,Transit,HD 20329,1.513802383771879
HD 207496 b,6.1,2.40687,6.441007,798.0,23.606,2023.0,Transit,HD 207496,0.43749383118699997
HD 207897 b,14.600000000000001,2.4083437733333333,16.201833566666668,618.3166666666667,28.2938,2021.0,Transit,HD 207897,1.0451952268361784
HD 213885 b,8.83,1.7326000000000001,1.00813555,1981.5,48.0883,2019.0,Transit,HD 213885,1.6977188604647415
HD 21520 b,17.7,2.697,25.1292,637.0,79.208,2024.0,Transit,HD 21520,0.9022573466603037
HD 219134 b,4.74,1.5056329275,3.093037914285714,965.2133333333333,6.53127,2015.0,Radial Velocity,HD 219134,1.3887402716320014
HD 219134 c,4.36,1.4700499999999999,6.764888133333333,762.3000000000001,6.53127,2015.0,Radial Velocity,HD 219134,1.372429896558051
HD 219134 f,7.3,1.31,22.772166666666664,522.6,6.53127,2015.0,Radial Velocity,HD 219134,3.2471995128311084
HD 219666 b,17.1,4.5720725,6.0364532833333335,943.75,94.1719,2018.0,Transit,HD 219666,0.17891913301430798
HD 221416 b,60.5,8.763303875,14.277240665413332,789.15,95.5483,2019.0,Transit,HD 221416,0.08989835816861415
HD 224018 c,10.4,2.42,36.57669,641.0,105.48,2025.0,Transit,HD 224018,0.7338161090699107
HD 23472 d,0.55,0.7537940000000001,3.97666165,882.0,39.0341,2022.0,Transit,HD 23472,1.2841171928588961
HD 23472 e,0.72,0.8939094999999999,7.9075811,721.5,39.0341,2022.0,Transit,HD 23472,1.0079798215058506
HD 23472 f,0.77,1.146715,12.16225775,634.0,39.0341,2022.0,Transit,HD 23472,0.5106510682036374
HD 235088 b,4.175000000000001,2.019858555,7.4341421,763.9833333333332,41.1706,2023.0,Transit,HD 235088,0.5066331528189034
HD 25463 b,8.6,2.6706174199999997,7.049149047073333,1229.3999999999999,45.6181,2023.0,Transit,HD 25463,0.4515058885054351
HD 25463 c,4.199999999999999,1.3990973366666666,3.04404802735,1626.6133333333335,45.6181,2023.0,Transit,HD 25463,1.5335766972603757
HD 260655 b,2.14,1.25663,2.7695118,655.5,10.0055,2022.0,Transit,HD 260655,1.0784288625932057
HD 260655 c,3.09,1.71451,5.705983399999999,575.0,10.0055,2022.0,Transit,HD 260655,0.6131100172768135
HD 2685 b,371.8611,16.61808,4.126898625,1888.0,196.852,2019.0,Transit,HD 2685,0.0810285772954324
HD 3167 b,5.17,1.6525249927272727,0.9596705709090909,1741.1666666666667,47.28990000000001,2016.0,Transit,HD 3167,1.145635423452915
HD 3167 c,9.946000000000002,2.852366164,29.84726728,536.5,47.28990000000001,2016.0,Transit,HD 3167,0.4285807167787905
HD 332231 b,75.82526,9.729878683333334,18.712085639999998,894.1,80.6665,2020.0,Transit,HD 332231,0.0823173976216012
HD 42813 b,7.6,3.445145884,13.630822181126002,732.3399999999999,68.192,2023.0,Transit,HD 42813,0.18586205816376852
HD 5278 b,7.8,2.3731616300000002,14.339179807519999,892.47,57.5846,2021.0,Transit,HD 5278,0.5835964600936357
HD 6061 b,10.4,2.3564118566666665,5.254618466666667,1137.77,67.6203,2023.0,Transit,HD 6061,0.7948400489409855
