pl_name,pl_masse,pl_rade,pl_orbper,pl_eqt,sy_dist,discoverymethod,disc_year,hostname
HD 217107 c,,,5178.0,,20.0619,Radial Velocity,2005,HD 217107
HD 114783 c,,,4319.0,,21.0628,Radial Velocity,2018,HD 114783
HD 72659 b,,,3506.0,,51.8949,Radial Velocity,2002,HD 72659
WASP-62 b,180.52744,15.58051,4.411953,,175.631,Transit,2012,WASP-62
WASP-96 b,155.7367,13.4508,3.4252602,,352.464,Transit,2014,WASP-96
WASP-17 b,162.72896,22.317119,3.7354845,,405.908,Transit,2009,WASP-17
WASP-19 b,367.72931,14.68379,0.7888396,,268.325,Transit,2009,WASP-19
WASP-39 b,87.40325,14.23543,4.0552947,,213.982,Transit,2011,WASP-39
WASP-43 b,651.5515,11.612524,0.81347437,,86.7467,Transit,2011,WASP-43
HD 181234 b,,,7462.0575,,47.7458,Radial Velocity,2019,HD 181234
HD 17156 b,1028.18005,12.184183,21.216398,,78.0863,Radial Velocity,2007,HD 17156
HAT-P-1 b,166.86075,13.921578,4.46529976,,158.979,Transit,2006,HAT-P-1
HD 221420 b,,,22482.0,,31.1415,Radial Velocity,2019,HD 221420
WASP-103 b,473.5667,17.127352,0.925542,,375.647,Transit,2014,WASP-103
HR 8799 e,3178.3,13.11453,,1150.0,41.2441,Imaging,2010,HR 8799
HD 66428 b,,,2263.12,,53.2817,Radial Velocity,2005,HD 66428
51 Eri b,,,11688.0,,29.7575,Imaging,2015,51 Eri
WASP-62 b,,,4.41193858,,175.631,Transit,2012,WASP-62
HAT-P-11 b,,4.68,4.88780026,794.0,37.7647,Transit,2008,HAT-P-11
HD 3167 b,5.59,1.626,0.96,,47.2899,Transit,2016,HD 3167
WASP-39 b,89.31023,14.336311,4.0552941,1166.0,213.982,Transit,2011,WASP-39
HAT-P-11 b,,4.84,4.887802706,801.0,37.7647,Transit,2008,HAT-P-11
HAT-P-11 b,,4.84,4.887802706,801.0,37.7647,Transit,2008,HAT-P-11
HD 63433 c,,2.57342831,20.54381533218,621.93,22.4035,Transit,2020,HD 63433
WASP-62 b,184.3414,15.02006,4.41194,1475.3,175.631,Transit,2012,WASP-62
HD 3167 c,,,,,47.2899,Transit,2016,HD 3167
NGTS-10 b,687.14846,13.506845,0.7668944,1332.0,,Transit,2020,NGTS-10
GJ 3470 b,12.58,3.88,3.336649,615.0,29.4214,Radial Velocity,2012,GJ 3470
HD 11506 b,,,1270.2,,51.261,Radial Velocity,2007,HD 11506
HIP 67522 b,,10.07,6.959503,1174.0,127.28,Transit,2020,HIP 67522
WASP-19 b,366.77398168,15.86070769,0.78883852,2113.0,268.325,Transit,2009,WASP-19
K2-25 b,24.5,3.44,3.48456408,494.0,44.9565,Transit,2015,K2-25
WASP-62 b,,,4.4119379,,175.631,Transit,2012,WASP-62
WASP-43 b,,,0.8134749,,86.7467,Transit,2011,WASP-43
KELT-7 b,,,2.7347703,,136.681,Transit,2015,KELT-7
WASP-19 b,,,0.788839,,268.325,Transit,2009,WASP-19
WASP-96 b,,,3.4252577,,352.464,Transit,2014,WASP-96
WASP-17 b,,,3.73543,,405.908,Transit,2009,WASP-17
WASP-96 b,,14.37529211,3.42525631341,1233.15,352.464,Transit,2014,WASP-96
TOI-283 b,,2.01411,17.6174652,610.0,82.7013,Transit,2025,TOI-283
HAT-P-1 b,,14.5331,4.4652986,1118.0,158.979,Transit,2006,HAT-P-1
WASP-17 b,,21.2315,3.7354838,1670.0,405.908,Transit,2009,WASP-17
HD 17156 b,,13.1431,21.216464,581.0,78.0863,Radial Velocity,2007,HD 17156
KELT-7 b,,17.805,2.7347651,1808.0,136.681,Transit,2015,KELT-7
GJ 3470 b,,4.13050781,3.33665106329,595.19,29.4214,Radial Velocity,2012,GJ 3470
HAT-P-11 b,,5.29152,4.8878037,810.0,37.7647,Transit,2008,HAT-P-11
HD 11506 c,,,223.95986,,51.261,Radial Velocity,2008,HD 11506
